Company,Rank,Year,Revenue (in millions),Profit (in millions)
Ameritech Corporation,84,1996,13427.8,
NYNEX Corporation,85,1996,13406.9,
American Home Products Corporation,86,1996,13376.1,
McKesson Corporation,87,1996,13325.5,
The Goodyear Tire & Rubber Company,88,1996,13165.9,
"Texas Instruments, Inc.",89,1996,13128,
Rockwell International Corporation,90,1996,13009,
Aetna Life & Casualty Co.,91,1996,12978,
Archer Daniels Midland Company,92,1996,12671.9,
"IBP, Inc.",94,1996,12667.6,
Alcoa,95,1996,12654.9,
SBC Communications Inc.,96,1996,12585,
"Anheuser-Busch Companies, Inc.",97,1996,12325.5,
"Delta Air Lines, Inc.",98,1996,12194,
The May Department Stores Company,99,1996,12187,
"ITT Hartford Group, Inc.",100,1996,12150,
SYSCO Corporation,101,1996,12118,
The Walt Disney Company,102,1996,12112.1,
"Winn-Dixie Stores, Inc.",103,1996,11787.8,
Weyerhaeuser Company,104,1996,11787.7,
Viacom Inc.,105,1996,11780.2,
"U S WEST, Inc.",106,1996,11746,
Raytheon Company,107,1996,11716,
Nationwide Insurance Enterprise,108,1996,11702.4,
Teachers Insurance & Annuity Association of America,109,1996,11646.2,
Melville Corporation,110,1996,11516.4,
Northwestern Mutual Life Insurance Company,111,1996,11483.3,
Chase Manhattan Corporation,112,1996,11336,
"Ashland, Inc.",113,1996,11251.1,
"Apple Computer, Inc.",114,1996,11062,
"WMX Technologies, Inc.",115,1996,10979.3,
Morgan Stanley Group Inc.,116,1996,10949,
Federal Home Loan Mortgage Corporation,117,1996,10915,
First Chicago NBD Corporation,118,1996,10681,
First Union Corporation,119,1996,10582.9,
The Principal Mutual Life Insurance Company,120,1996,10561,
CSX Corporation,121,1996,10504,
Occidental Petroleum Corporation,122,1996,10423,
Walgreen Co.,123,1996,10395.1,
The Coastal Corporation,125,1996,10223.4,
"TRW, Inc.",126,1996,10172.4,
"Pfizer, Inc.",127,1996,10021.4,
Emerson Electric Company,128,1996,10012.9,
Abbott Laboratories,129,1996,10012.2,
"Textron, Inc.",130,1996,9973,
Alco Standard Corp.,131,1996,9891.8,
"Baxter International, Inc.",133,1996,9730,
Pacific Gas & Electric Company,134,1996,9621.8,
Westinghouse Electric Corporation,135,1996,9605,
"Publix Super Markets, Inc.",136,1996,9470.7,
Deere & Company,137,1996,9426.9,
Federal Express Corporation,138,1996,9392.1,
Liberty Mutual Insurance Group,139,1996,9308,
Fluor Corporation,140,1996,9301.4,
Enron Corp.,141,1996,9189,
The Southern Company,142,1996,9180,
"Northwest Airlines, Inc.",143,1996,9084.9,
Pacific Telesis Group,144,1996,9042,
Banc One Corporation,145,1996,8970.9,
Monsanto Company,146,1996,8962,
Marriott International,147,1996,8960.7,
Union Pacific Corporation,148,1996,8942,
"Salomon, Inc.",149,1996,8933,
"Tenneco, Inc.",150,1996,8899,
"ITT Industries, Inc.",151,1996,8884,
Bankers Trust New York Corporation,152,1996,8600,
Bergen Brunswig Corporation,153,1996,8447.6,
"CPC International, Inc.",154,1996,8431.5,
Edison International,155,1996,8405,
"General Mills, Inc.",156,1996,8393.6,
"Sun Company, Inc.",157,1996,8370,
Colgate-Palmolive Company,158,1996,8358.2,
Whirlpool Corporation,159,1996,8347,
"Johnson Controls, Inc.",160,1996,8330.3,
Woolworth Corporation,161,1996,8224,
H.J. Heinz Company,162,1996,8086.8,
Time Warner Inc.,163,1996,8067,
College Retirement Equities Fund,164,1996,7950.6,
"Dean Witter, Discover & Co.",165,1996,7934.4,
Fleet Financial Group,166,1996,7919.4,
"The Limited, Inc.",167,1996,7881.4,
"Cardinal Health, Inc.",168,1996,7806.1,
Dana Corporation,169,1996,7794.5,
Norwest Corporation,170,1996,7582.3,
Eli Lilly & Company,171,1996,7535.4,
Unocal Corporation,172,1996,7527,
Amerada Hess Corporation,173,1996,7524.8,
"USAir Group, Inc.",174,1996,7474.3,
Stone Container Corporation,175,1996,7351.2,
Tosco Corporation,176,1996,7284.1,
Campbell Soup Company,177,1996,7278,
"Farmland Industries, Inc.",178,1996,7256.9,
Ralston Purina Company,180,1996,7210.3,
General Re Corporation,181,1996,7210.2,
"AFLAC, Inc.",182,1996,7190.6,
"Pharmacia & Upjohn, Inc.",183,1996,7094.6,
Reynolds Metals Company,184,1996,7075.4,
"PPG Industries, Inc.",185,1996,7057.7,
Warner-Lambert Company,186,1996,7039.8,
Kellogg Company,187,1996,7003.7,
Champion International Corporation,188,1996,6972,
Unicom Corporation,189,1996,6910,
"Tele-Communications, Inc.",190,1996,6851,
Eaton Corporation,191,1996,6821.7,
Northrop Grumman Corporation,192,1996,6818,
Massachusetts Mutual Life Insurance,193,1996,6804.1,
James River Corporation of Virginia,194,1996,6799.5,
The Gillette Company,195,1996,6794.7,
"Coca-Cola Enterprises, Inc.",196,1996,6773,
"Honeywell, Inc.",197,1996,6731.3,
Levi Strauss Associates,198,1996,6707.6,
Lincoln National Corporation,199,1996,6633.3,
United Services Automobile Association,200,1996,6610.9,
R.R. Donnelley & Sons,201,1996,6511.8,
American General Corporation,202,1996,6495,
Unisys Corporation,203,1996,6460.4,
"Consolidated Edison Company of New York, Inc.",204,1996,6401.5,
PNC Bank Corp.,205,1996,6389.5,
The Quaker Oats Company,206,1996,6365.2,
ITT Corporation,207,1996,6346,
Navistar International Corporation,208,1996,6342,
Entergy Corporation,209,1996,6274.4,
"Burlington Northern Santa Fe, Corp.",210,1996,6183,
Guardian Life Insurance Co. of America,211,1996,6172.3,
"Public Service Enterprise Group, Inc.",212,1996,6164.2,
Transamerica Corporation,213,1996,6101.1,
"Dillard Department Stores, Inc.",214,1996,6097.1,
Chubb Corporation,215,1996,6089.2,
KeyCorp,216,1996,6054,
"Associated Insurance Companies,Inc.",217,1996,6037.5,
Halliburton Company,218,1996,5951.3,
Microsoft Corporation,219,1996,5937,
Arrow Electronics,220,1996,5919.4,
"American Brands, Inc.",221,1996,5904.9,
"Sun Microsystems, Inc.",222,1996,5901.9,
Union Carbide Corporation,223,1996,5888,
John Hancock Mutual Life Insurance Company,224,1996,5845.5,
Tandy Corporation,225,1996,5839.1,
"Continental Airlines, Inc.",226,1996,5825,
"Merisel, Inc.",227,1996,5801.8,
W.R. Grace & Co.,228,1996,5784.2,
"Browning-Ferris Industries, Inc.",229,1996,5779.4,
Ingersoll-Rand Company,230,1996,5729,
"American Electric Power Company, Inc.",231,1996,5670.3,
United HealthCare Corporation,232,1996,5670,
Texas Utilities Company,233,1996,5638.7,
"Dresser Industries, Inc.",234,1996,5628.7,
ARAMARK Corporation,235,1996,5600.6,
"FPL Group, Inc.",236,1996,5592.5,
"Circuit City Stores, Inc.",237,1996,5582.9,
The Black & Decker Corporation,238,1996,5566.2,
"Tyson Foods, Inc.",239,1996,5511.2,
Loral Corporation,240,1996,5484.4,
Manpower Inc.,241,1996,5484.2,
Dun & Bradstreet Corporation (The),242,1996,5415.1,
Bank of Boston Corporation,243,1996,5410.6,
"The St. Paul Companies, Inc.",244,1996,5409.6,
Wells Fargo & Company,245,1996,5409,
"Corning, Inc.",246,1996,5346.1,
The Bank of New York Company,247,1996,5327,
"Paine Webber Group, Inc.",248,1996,5320.1,
"Office Depot, Inc.",249,1996,5313.2,
Dell Computer Corporation,250,1996,5296,
"Consolidated Freightways, Inc.",251,1996,5281.1,
Genuine Parts Company,252,1996,5261.9,
"Cummins Engine Company, Inc.",253,1996,5245,
"AMP , Inc.",254,1996,5227.2,
"American Standard Companies, Inc.",255,1996,5221.5,
The Mead Corporation,256,1996,5179.4,
FoxMeyer Health Corporation,257,1996,5177.1,
Ryder System,258,1996,5167.4,
Schering-Plough Corporation,259,1996,5150.6,
"Household International, Inc.",260,1996,5144.4,
Case Corporation,261,1996,5105,
Best Buy Co. Inc.,262,1996,5079.6,
"The Vons Companies, Inc.",263,1996,5070.7,
VF Corporation,264,1996,5062.3,
Boise Cascade Corporation,265,1996,5057.7,
"Crown Cork & Seal Company, Inc.",266,1996,5053.8,
Eastman Chemical Company,267,1996,5040,
Eckerd Corporation,268,1996,4997.1,
PanEnergy Corp.,269,1996,4967.5,
Lyondell Petrochemical Company,270,1996,4936,
"Cooper Industries, Inc.",271,1996,4885.9,
Bethlehem Steel Corporation,272,1996,4867.5,
Paccar Inc.,273,1996,4848.2,
First Interstate Bancorp,274,1996,4827.5,
"Inland Steel Industries, Inc.",275,1996,4781.5,
Masco,276,1996,4779,
"Nike, Inc.",277,1996,4760.8,
Lear Seating Corporation,278,1996,4714.4,
"Humana, Inc.",279,1996,4702,
Duke Power Company,280,1996,4676.7,
Bindley Western Industries,281,1996,4672.5,
AmeriSource Health Corporation,282,1996,4668.9,
Norfolk Southern Corporation,283,1996,4668,
"Thrifty Payless Holdings, Inc.",284,1996,4658.8,
"Dominion Resources, Inc.",285,1996,4651.7,
FMC Corporation,286,1996,4566.6,
"Seagate Technology, Inc.",287,1996,4539.6,
Tyco International Ltd.,288,1996,4534.7,
Rite Aid Corporation,289,1996,4533.9,
Mellon Bank Corporation,290,1996,4514,
"Avon Products, Inc.",291,1996,4492.1,
"Berkshire Hathaway, Inc.",292,1996,4487.7,
"The TJX Companies, Inc.",293,1996,4447.5,
"Revco D.S., Inc.",294,1996,4431.9,
H.F. Ahmanson,295,1996,4397.5,
"The Gap, Inc.",296,1996,4395.3,
Houston Industries Incorporated,297,1996,4388.4,
Avnet,298,1996,4300,
The LTV Corporation,299,1996,4283.2,
Union Camp Corporation,300,1996,4211.7,
PECO Energy Company,301,1996,4186.2,
Phelps Dodge Corporation,302,1996,4185.4,
Supermarkets General Holdings Corporation,303,1996,4182.1,
"Dole Food Company, Inc.",304,1996,4152.8,
"Illinois Tool Works, Inc.",305,1996,4152.2,
Mutual of Omaha Insurance Companies,306,1996,4134.3,
Unum Corp.,307,1996,4122.9,
"The Stop & Shop Companies, Inc.",308,1996,4116.1,
"Nordstrom, Inc.",309,1996,4113.5,
Jefferson Smurfit Corporation,310,1996,4093,
First Data Corporation,311,1996,4081.2,
"Chiquita Brands International, Inc.",312,1996,4026.6,
"Service Merchandise Company, Inc.",313,1996,4018.5,
"Gannett Company, Inc.",314,1996,4006.7,
"Waban, Inc.",315,1996,3978.4,
Niagara Mohawk Power Corporation,316,1996,3917.3,
Student Loan Marketing Association,317,1996,3916.6,
FHP International Corporation,318,1996,3909.4,
"Air Products & Chemicals, Inc.",319,1996,3891,
CMS Energy Corporation,320,1996,3890,
Rohm & Haas Company,321,1996,3884,
"Willamette Industries, Inc.",322,1996,3873.6,
"Pitney Bowes, Inc.",323,1996,3861.2,
General Public Utilities Corporation,324,1996,3804.7,
"Marsh & McLennan Companies, Inc.",325,1996,3770.3,
"Owens-Illinois, Inc.",326,1996,3763.2,
Wachovia Corporation,327,1996,3755.4,
"The Bear Stearns Companies, Inc.",328,1996,3753.6,
Northeast Utilities Service Company,329,1996,3749,
Dover Corporation,330,1996,3745.9,
"SunTrust Banks, Inc.",331,1996,3740.3,
Central & South West Corporation,332,1996,3735,
"PacifiCare Health Systems, Inc.",333,1996,3731,
Safeco Corporation,334,1996,3722.7,
"Giant Food, Inc.",335,1996,3695.6,
Hershey Foods Corporation,336,1996,3690.7,
Conrail Inc.,337,1996,3686,
"Barnett Banks, Inc.",338,1996,3680,
"Gateway 2000, Inc.",339,1996,3676.3,
NGC Corporation,340,1996,3665.9,
"WorldCom, Inc.",341,1996,3640,
"Mattel, Inc.",342,1996,3638.8,
DTE Energy Company,343,1996,3635.5,
American Financial Group,344,1996,3629.6,
Owens-Corning,345,1996,3612,
The Dial Corp.,346,1996,3575.1,
"Premark International, Inc.",347,1996,3573.6,
The Circle K Corporation,348,1996,3565.6,
Great Western Financial Corporation,349,1996,3556.4,
General Dynamics Corporation,350,1996,3544,
The Penn Traffic Company,351,1996,3536.6,
"U.S. Healthcare, Inc.",352,1996,3517.8,
"Food 4 Less Holdings, Inc.",353,1996,3494,
The Times Mirror Company,354,1996,3491,
Reebok International Ltd.,355,1996,3481.5,
Harris Corporation,356,1996,3480.9,
"Intelligent Electronics, Inc.",357,1996,3474.6,
Aon Corporation,358,1996,3465.7,
Nucor Corporation,359,1996,3462,
"Temple-Inland, Inc.",360,1996,3460,
USF&G Corporation,361,1996,3458.8,
National City Corporation,362,1996,3449.9,
"Turner Broadcasting System, Inc.",363,1996,3437,
"Fred Meyer, Inc.",364,1996,3428.7,
PacifiCorp,365,1996,3400.9,
Providian Corporation,366,1996,3388,
Computer Sciences Corporation,367,1996,3372.5,
Quantum Corporation,368,1996,3368,
Comcast Corporation,369,1996,3362.9,
"Morton International, Inc.",370,1996,3354.9,
"First Bank System, Inc.",371,1996,3328.3,
"Litton Industries, Inc.",372,1996,3319.7,
Tenet Healthcare Corp.,373,1996,3318,
"Trans World Airlines, Inc.",374,1996,3316.8,
"MAPCO, Inc.",375,1996,3310,
Consolidated Natural Gas Company,376,1996,3307.3,
Westvaco Corporation,377,1996,3302.7,
The Turner Corporation,378,1996,3281.5,
Universal Corporation,379,1996,3280.9,
Centex Corporation,380,1996,3277.5,
"W.W. Grainger, Inc.",381,1996,3276.9,
The Sherwin-Williams Company,382,1996,3273.8,
"Harcourt General, Inc.",383,1996,3241.9,
Allmerica Financial,384,1996,3238.9,
"Beverly Enterprises, Inc.",385,1996,3228.6,
Parker Hannifin Corporation,386,1996,3214.4,
Cyprus Amax Minerals Company,387,1996,3207,
ServiceMaster,388,1996,3202.5,
"Asarco, Inc.",389,1996,3197.8,
Pacific Mutual Life Insurance,390,1996,3160.5,
Southern Pacific Rail Corporation,391,1996,3151.3,
"Praxair, Inc.",393,1996,3146,
Avery Dennison Corporation,394,1996,3113.9,
"Comerica, Inc.",395,1996,3112.6,
ALLTEL Corporation,396,1996,3109.7,
"WellPoint Health Networks, Inc.",397,1996,3107.1,
Tech Data Corporation,398,1996,3086.6,
Olin Corporation,399,1996,3083.7,
Foster Wheeler Corporation,400,1996,3081.9,
Long Island Lighting Company,402,1996,3075.1,
Brunswick Corporation,403,1996,3068.5,
"Staples, Inc.",404,1996,3068.1,
"Applied Materials, Inc.",405,1996,3061.9,
Yellow Corporation,406,1996,3056.6,
Florida Progress Corporation,407,1996,3055.6,
GEICO Corporation,408,1996,3054,
Hormel Foods Corporation,409,1996,3046.2,
Maytag Corporation,410,1996,3039.5,
CINergy Corp.,411,1996,3031.4,
Valero Energy Corporation,412,1996,3019.8,
Carolina Power & Light Company,414,1996,3006.6,
The Progressive Corporation,415,1996,2996.1,
"Owens & Minor, Inc.",416,1996,2976.5,
Oracle Corporation,417,1996,2966.9,
"Diamond Shamrock, Inc.",418,1996,2956.7,
"Micron Technology, Inc.",419,1996,2952.7,
Whitman Corporation,420,1996,2946.5,
"Mercantile Stores Company, Inc.",421,1996,2944.3,
"MicroAge, Inc.",422,1996,2941.1,
"The McGraw-Hill Companies, Inc.",423,1996,2935.3,
Baltimore Gas & Electric Company,424,1996,2934.8,
York International Corporation,425,1996,2929.9,
"Alumax, Inc.",427,1996,2926.1,
The Pittston Company,428,1996,2926.1,
"U.S. Industries, Inc.",429,1996,2908.4,
"Reliance Group Holdings ,Inc.",430,1996,2906,
Kerr-McGee Corporation,431,1996,2902,
The Est_e Lauder Companies Inc.,432,1996,2899.1,
U.S. Bancorp,433,1996,2897.3,
"American President Companies, Ltd.",434,1996,2896,
"Flagstar Companies, Inc.",435,1996,2893.8,
"Automatic Data Processing, Inc.",436,1996,2893.7,
Nash Finch Company,437,1996,2888.8,
Southwest Airlines Co.,438,1996,2872.8,
"Shaw Industries, Inc.",439,1996,2869.8,
"Bruno's, Inc.",440,1996,2869.6,
CoreStates Financial Corporation,441,1996,2868,
Tribune Company,442,1996,2863.6,
NorAm Energy Corp.,443,1996,2862.1,
"Conseco, Inc.",444,1996,2860.7,
Republic New York Corporation,445,1996,2859.6,
"Hasbro, Inc.",446,1996,2858.2,
"The Williams Companies, Inc.",447,1996,2855.7,
"Fleetwood Enterprises, Inc.",448,1996,2855.7,
Louisiana-Pacific Corporation,449,1996,2843.2,
Engelhard Corporation,450,1996,2840.1,
CompUSA Inc.,451,1996,2813.1,
UtiliCorp United Inc.,452,1996,2798.5,
Aid Association for Lutherans,453,1996,2795.8,
"Graybar Electric Company, Inc.",454,1996,2774.4,
The Caldor Corp.,455,1996,2764.5,
"Knight-Ridder, Inc.",456,1996,2751.8,
Manville Corporation,457,1996,2733.8,
"Health Systems International, Inc.",458,1996,2732.1,
"Echlin, Inc.",459,1996,2717.9,
Ultramar Corporation,460,1996,2714.4,
"Becton, Dickinson and Company",461,1996,2712.5,
Sonoco Products Company,462,1996,2706.2,
"Kelly Services, Inc.",463,1996,2689.8,
"Payless Cashways, Inc.",464,1996,2685.7,
"SCI Systems, Inc.",465,1996,2673.8,
PP&L Resources,466,1996,2650,
"Allegheny Power System, Inc.",467,1996,2647.8,
Longs Drug Stores Corporation,468,1996,2644.4,
"Baker Hughes, Incorporated",469,1996,2637.5,
"The Columbia Gas System, Inc.",470,1996,2635.2,
"Armstrong World Industries, Inc.",471,1996,2635.1,
Dean Foods Company,472,1996,2630.2,
The Stanley Works,473,1996,2624.3,
Computer Associates International,474,1996,2623,
Ball Corporation,475,1996,2591.7,
Northern States Power Company,476,1996,2568.6,
Hannaford Bros. Company,477,1996,2568.1,
"Teledyne, Inc.",478,1996,2567.8,
MBNA Corporation,479,1996,2565.4,
"Maxxam, Inc.",480,1996,2565.2,
"Caliber Systems, Inc.",482,1996,2547.6,
"OfficeMax, Inc.",483,1996,2542.5,
Morrison Knudsen Corporation,484,1996,2530.9,
The Olsten Corporation,485,1996,2518.9,
Centerior Energy Corporation,486,1996,2515.5,
"Spartan Stores, Inc.",487,1996,2512.4,
Newell Company,488,1996,2498.4,
Pennzoil Company,489,1996,2490,
"Provident Companies, Inc.",490,1996,2488.2,
Golden West Financial Corporation,491,1996,2470,
"AST Research, Inc.",492,1996,2467.8,
Ohio Edison Company,493,1996,2465.8,
Foundation Health Corporation,494,1996,2459.9,
State Street Boston Corporation,495,1996,2445.7,
USG Corporation,496,1996,2444,
Cotter & Co.,497,1996,2437,
Ace Hardware Corporation,498,1996,2436,
General Instrument Corporation,499,1996,2432,
"Advanced Micro Devices, Inc.",500,1996,2429.7,
General Motors Corporation,1,1997,168369,
Ford Motor Company,2,1997,146991,
Exxon Corporation,3,1997,119434,
"Wal-Mart Stores, Inc.",4,1997,106147,
General Electric Company,5,1997,79179,
International Business Machines Corporation,6,1997,75947,
AT&T Corp.,7,1997,74525,
Mobil Corporation,8,1997,72267,
Chrysler Corporation,9,1997,61397,
Philip Morris Companies Inc.,10,1997,54553,
Texaco Inc.,11,1997,44561,
State Farm Insurance Companies,12,1997,42781.2,
Prudential Insurance Company of America,13,1997,40175,
"E.I. du Pont de Nemours and Company, Inc.",14,1997,39689,
Chevron Corporation,15,1997,38691,
Hewlett-Packard Company,16,1997,38420,
"Sears, Roebuck & Company",17,1997,38236,
The Procter & Gamble Company,18,1997,35284,
Amoco Corporation,19,1997,32726,
Citicorp,20,1997,32605,
"PepsiCo, Inc.",21,1997,31645,
Kmart Corporation,22,1997,31437,
"American International Group,Inc.",23,1997,28205.3,
"Motorola, Inc.",24,1997,27973,
The Chase Manhattan Corporation,25,1997,27421,
Lockheed Martin Corporation,26,1997,26875,
Dayton Hudson Corporation,27,1997,25371,
The Kroger Company,28,1997,25170.9,
Fannie Mae,29,1997,25054,
"Merrill Lynch & Co., Inc.",30,1997,25011,
"ConAgra, Inc.",31,1997,24821.6,
The Allstate Corporation,32,1997,24299,
"J.C. Penney Company, Inc.",33,1997,23649,
United Technologies Corporation,34,1997,23512,
Metropolitan Life Insurance Co.,35,1997,23000,
The Boeing Company,36,1997,22681,
"United Parcel Service of America, Inc.",37,1997,22368,
BankAmerica Corporation,38,1997,22071,
Johnson & Johnson,39,1997,21620,
Travelers Group Inc.,40,1997,21345.4,
GTE Corporation,41,1997,21339.2,
USX Corporation,42,1997,21076,
Intel Corporation,43,1997,20847,
International Paper Company,44,1997,20143,
The Dow Chemical Company,45,1997,20053,
Loews Corporation,46,1997,19964.8,
Columbia/HCA Healthcare Corp.,47,1997,19909,
"Merck & Co., Inc.",48,1997,19828.7,
"Costco Companies, Inc.",49,1997,19566.5,
"The Home Depot, Inc.",50,1997,19535.5,
Xerox Corporation,51,1997,19521,
Atlantic Richfield Company,52,1997,19168.5,
BellSouth Corporation,53,1997,19040,
CIGNA Corporation,54,1997,18950,
The Walt Disney Company,55,1997,18739,
American Stores Company,56,1997,18678.1,
Sara Lee Corporation,57,1997,18624,
The Coca-Cola Company,58,1997,18546,
MCI Communications Corporation,59,1997,18494,
Compaq Computer Corporation,60,1997,18109,
AMR Corporation,61,1997,17753,
NationsBank Corporation,62,1997,17509,
New York Life Insurance Company,63,1997,17347,
American Express Company,64,1997,17280,
Safeway Inc.,65,1997,17269,
RJR Nabisco Holdings Corporation,66,1997,17063,
"Aetna, Inc.",67,1997,16900.2,
"Caterpillar, Inc.",68,1997,16522,
"Fleming Companies, Inc.",69,1997,16486.7,
"Supervalu, Inc.",70,1997,16486.3,
UAL Corporation,71,1997,16362,
Eastman Kodak Company,72,1997,15968,
J.P. Morgan & Co. Incorporated,73,1997,15866,
Phillips Petroleum Company,74,1997,15807,
"Federated Department Stores, Inc.",75,1997,15229,
Bristol-Myers Squibb Company,76,1997,15065,
Ameritech Corporation,77,1997,14917,
Digital Equipment Corporation,78,1997,14562.8,
Rockwell International Corporation,79,1997,14343,
"Lehman Brothers Holdings, Inc.",80,1997,14260,
Minnesota Mining & Manufacturing Company,81,1997,14236,
Sprint Corporation,82,1997,14234.9,
American Home Products Corporation,83,1997,14088.3,
SBC Communications Inc.,85,1997,13898.2,
College Retirement Equities Fund,86,1997,13864.6,
McDonnell Douglas Corporation,87,1997,13834,
Teachers Insurance & Annuity Association of America,88,1997,13828.1,
AlliedSignal Inc.,89,1997,13776.7,
McKesson Corporation,90,1997,13718.8,
NYNEX Corporation,91,1997,13453.8,
SYSCO Corporation,92,1997,13395.1,
Archer Daniels Midland Company,93,1997,13314,
Enron Corp.,94,1997,13289,
Kimberly-Clark Corporation,95,1997,13149.1,
Morgan Stanley Group,96,1997,13144,
Alcoa,97,1997,13128.4,
The Goodyear Tire & Rubber Company,98,1997,13112.8,
Bell Atlantic Corporation,99,1997,13081.4,
Georgia-Pacific Corporation,100,1997,13024,
"Winn-Dixie Stores, Inc.",101,1997,12955.5,
"U S WEST, Inc.",102,1997,12911,
The May Department Stores Company,103,1997,12601,
"IBP, Inc.",104,1997,12538.8,
"ITT Hartford Group, Inc.",105,1997,12473,
"Delta Air Lines, Inc.",106,1997,12455,
Nationwide Insurance Enterprise,107,1997,12358.3,
Raytheon Company,108,1997,12330.5,
Ashland Inc.,109,1997,12300.7,
Federal Home Loan Mortgage Corp.,110,1997,12116,
Northwestern Mutual Life Insurance Company,111,1997,12110,
Viacom Inc.,112,1997,12084.2,
"Ingram Micro, Inc.",113,1997,12023.5,
First Union Corporation,114,1997,11985,
The Coastal Corporation,115,1997,11920.2,
Walgreen Co.,116,1997,11778.4,
Texas Instruments Incorporated,117,1997,11713,
Pfizer Inc.,118,1997,11306,
Deere & Company,119,1997,11229.4,
Emerson Electric Co.,120,1997,11149.9,
"Ikon Office Solutions, Inc.",121,1997,11122.6,
Weyerhaeuser Company,122,1997,11114,
Abbott Laboratories,124,1997,11013.5,
"Tenneco, Inc.",125,1997,10982,
Liberty Mutual Insurance Group,126,1997,10967,
"Anheuser-Busch Companies, Inc.",127,1997,10883.7,
Fluor Corporation,128,1997,10686.5,
Occidental Petroleum Corporation,129,1997,10557,
CSX Corporation,130,1997,10536,
"Publix Super Markets, Inc.",131,1997,10526,
Berkshire Hathaway Inc.,132,1997,10500.3,
Southern Company,133,1997,10358,
"WMX Technologies, Inc.",134,1997,10321.6,
TRW Inc.,135,1997,10310.1,
Banc One Corporation,137,1997,10272.4,
"Marriott International, Inc.",138,1997,10172,
First Chicago NBD Corp.,139,1997,10117,
United HealthCare Corporation,140,1997,10073.8,
Time Warner Inc.,141,1997,10064,
Union Pacific Corporation,142,1997,10051,
"Johnson Controls, Inc.",143,1997,10009.4,
Bergen Brunswig Corporation,144,1997,9942.7,
Federal Express Corporation,145,1997,9932.4,
Tosco Corporation,146,1997,9922.6,
